admin1;state_code;state_en;state_fr
01;AB;alberta;alberta
02;BC;british-columbia;colombie-britannique
03;MB;manitoba;manitoba
04;NB;new-brunswick;nouveau-brunswick
05;NL;newfoundland-and-labrador;terre-neuve-et-labrador
07;NS;nova-scotia;nouvelle-ecosse
13;NT;northwest-territories;territoires-du-nord-ouest
14;NU;nunavut;nunavut
08;ON;ontario;ontario
09;PE;prince-edward-island;ile-du-prince-edouard
10;QC;quebec;quebec
11;SK;saskatchewan;saskatchewan
12;YT;yukon;yukon
AL;AL;alabama;alabama
AK;AK;alaska;alaska
AZ;AZ;arizona;arizona
AR;AR;arkansas;arkansas
CA;CA;california;californie
NC;NC;north-carolina;caroline-du-nord
SC;SC;south-carolina;caroline-du-sud
CO;CO;colorado;colorado
CT;CT;connecticut;connecticut
ND;ND;north-dakota;dakota-du-nord
SD;SD;south-dakota;dakota-du-sud
DE;DE;delaware;delaware
DC;DC;district-of-columbia;district-de-columbia
FL;FL;florida;floride
GA;GA;georgia;georgie
HI;HI;hawaii;hawai
ID;ID;idaho;idaho
IL;IL;illinois;illinois
IN;IN;indiana;indiana
IA;IA;iowa;iowa
KS;KS;kansas;kansas
KY;KY;kentucky;kentucky
LA;LA;louisiana;louisiane
ME;ME;maine;maine
MD;MD;maryland;maryland
MA;MA;massachusetts;massachusetts
MI;MI;michigan;michigan
MN;MN;minnesota;minnesota
MS;MS;mississippi;mississippi
MO;MO;missouri;missouri
MT;MT;montana;montana
NE;NE;nebraska;nebraska
NV;NV;nevada;nevada
NH;NH;new-hampshire;new-hampshire
NJ;NJ;new-jersey;new-jersey
NY;NY;new-york;new-york
NM;NM;new-mexico;nouveau-mexique
OH;OH;ohio;ohio
OK;OK;oklahoma;oklahoma
OR;OR;oregon;oregon
PA;PA;pennsylvania;pennsylvanie
RI;RI;rhode-island;rhode-island
TN;TN;tennessee;tennessee
TX;TX;texas;texas
UT;UT;utah;utah
VT;VT;vermont;vermont
VA;VA;virginia;virginie
WV;WV;west-virginia;virginie-occidentale
WA;WA;washington;washington
WI;WI;wisconsin;wisconsin
WY;WY;wyoming;wyoming
